the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.90063765404835 40.848251681096045),2,Bronx,206,15,86,33,15,2186,1079,General,backless,10/23/2013,1924 Webster Avenue,1924 Webster Avenue,Webster Avenue,E Tremont Avenue & E178th Street,Bronx,206,BX41,Not Applicable,40.8482516811,-73.900637654,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.16946250896487 40.55251478073413),5,Staten Island,503,51,62,24,11,2682,1501,Municipal Facilities,backed,08/06/2014,380 Genesee Avenue,380 Genesee Avenue,Genesee Avenue,Wainwright Avenue & Richmond Avenue,Staten Island,503,Not Applicable,Not Applicable,40.552523,-74.169464,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93840556480296 40.84629071535887),1,Manhattan,112,10,72,31,13,3337,9011,Plaza,backless,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.846299,-73.938407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9059705834822 40.71288374036419),4,Queens,405,30,37,15,6,1503,486,General,backless,06/12/2013,5802 Metropolitan Avenue,5802 Metropolitan Avenue,Metropolitan Avenue,Forest Avenue & 60th Street,Queens,405,Q54,Not Applicable,40.712892,-73.905972,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93035657339631 40.7568687321989),4,Queens,401,26,30,12,12,4137,0,Other,backless,05/01/2018,30-13 36th Avenue,30-13 36th Avenue,31st Street,35th & 36th Avenue,Queens,401,Not Applicable,Not Applicable,40.756877,-73.930358,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95098057197542 40.66478175102833),3,Brooklyn,309,35,43,20,9,1751,291,General,backed,04/08/2013,975 Nostrand Avenue,975 Nostrand Avenue,Nostrand Avenue,Montgomery Street & Empire Boulevard,Brooklyn,309,Not Applicable,Not Applicable,40.66479,-73.950982,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98923356308443 40.60636076419213),3,Brooklyn,311,44,47,22,10,4171,0,Bus Route,backless,03/06/2013,7802 Bay Parkway,7802 Bay Parkway,Bay Parkway,79th Street & 78th Street,Brooklyn,311,B82,Not Applicable,40.606369,-73.989235,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.76766978796856 40.69238113233924),4,Queens,412,27,29,14,5,3619,121,General,backed 2,05/13/2017,179-24 Linden Blvd,179-24 Linden Blvd,Linden Blvd,Newburg Street & 180th Street,Queens,412,Not Applicable,Not Applicable,40.6923811323,-73.767669788,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.02394655043247 40.633581760130646),3,Brooklyn,310,43,64,22,11,2319,950,General,backed,02/11/2014,7002 4th Avenue,7002 4th Avenue,4th Avenue,Ovington Avenue & 72nd Street,Brooklyn,310,Not Applicable,Not Applicable,40.63359,-74.023948,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90350457778759 40.82181971890261),2,Bronx,203,16,79,32,15,3462,2161,Municipal Facilities,backed,06/10/2016,905 Tinton Avenue,905 Tinton Avenue,Tinton Avenue,E 161st Street & E 163rd Street,Bronx,203,Not Applicable,Not Applicable,40.821828,-73.903506,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99637826607854 40.7157621892893),1,Manhattan,103,1,65,26,7,3805,402,Senior Safety,backed,12/28/2017,50 Bowery,50 Bowery,Bowery,Canal Street & Slip Lane,Manhattan,103,Not Applicable,Not Applicable,40.7157621893,-73.9963782661,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89063858623742 40.74908173233256),4,Queens,403,25,39,13,14,4106,792,General,backed 2,02/07/2019,75-07 37th Avenue,75-07 37th Avenue,37th Avenue,75th Street & 76th Street,Queens,403,Not Applicable,Not Applicable,40.74909,-73.89064,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96101756966291 40.655217753716066),3,Brooklyn,309,40,43,21,9,2411,986,General,backed,04/04/2014,203 Parkside Avenue,203 Parkside Avenue,Parkside Avenue,Ocean Avenue & Parkside Court,Brooklyn,309,Not Applicable,Not Applicable,40.655226,-73.961019,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93179557174751 40.765090731075055),4,Queens,401,22,36,12,12,2945,1781,Municipal Facilities,backless,11/06/2014,32-09 21st Street,21-10 Broadway,Broadway,21st Street & 23rd Street,Queens,401,Q104,Not Applicable,40.765099,-73.931797,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.9913375566573 40.71326474292799),1,Manhattan,103,1,65,26,7,1109,721,Senior Center,backless,04/29/2013,122 Henry Street,122 Henry Street,Pike,Madison Street & Pike,Manhattan,103,M15,Not Applicable,40.713273,-73.991339,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.95777556945987 40.66346675116631),3,Brooklyn,309,40,43,20,9,2944,636,Municipal Facilities,backless,12/24/2014,140 Empire Boulevard,1762 Bedford Avenue,Bedford Avenue,Empire Boulevard & Sterling Street,Brooklyn,309,B49,Not Applicable,40.663475,-73.957777,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7497974948695 40.768480734395595),4,Queens,411,19,26,11,3,2466,644,Plaza,backless,08/19/2014,23421 41st Avenue,23421 41st Avenue,41st Avenue,235th Street,Queens,411,Not Applicable,Not Applicable,40.7684807344,-73.7497974949,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.97476156312354 40.687175747543485),3,Brooklyn,302,35,57,25,8,2236,1046,BID,backed,10/18/2013,89 Lafayette Avenue,89 Lafayette Avenue,S Portland Avenue,S Portland Avenue & S Elliott Place,Brooklyn,302,Not Applicable,Fulton Area Business (FAB) Alliance,40.687184,-73.974763,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91220358384086 40.66944974888444),3,Brooklyn,316,41,55,20,9,1760,467,BID,backed,02/21/2013,1652 Pitkin Avenue,1652 Pitkin Avenue,Pitkin Avenue,Briston Street & Chester Street,Brooklyn,316,Not Applicable,Pitkin Avenue,40.669458,-73.912205,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96175268639941 40.68268968737077),3,Brooklyn,302,35,57,25,8,1534,105,Plaza,backed,04/01/2012,19 Putnam Avenue,19 Putnam Avenue,Plaza,Fulton Street & Grand Avenue,Brooklyn,302,Not Applicable,Fulton Area Business (FAB) Alliance,40.6826896874,-73.9617526864,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89333457910253 40.86189471030587),2,Bronx,205,15,78,33,15,1208,1895,BID,backed 2,10/24/2012,335-339 East Fordham Road,339 East Fordham Road,East Fordham Road,Marion and Bainbridge Avenues,Bronx,207,Not Applicable,Fordham Road,40.861903,-73.893336,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90888457633022 40.813719720101886),2,Bronx,201,8,84,29,15,2698,1245,Municipal Facilities,backed,08/14/2014,564 Jackson Avenue,564 Jackson Avenue,Jackson Avenue,East 149th Street & Pontiac Place,Bronx,201,Not Applicable,Not Applicable,40.813728,-73.908886,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98062256146656 40.68099274852759),3,Brooklyn,306,33,52,25,7,2180,586,General,backed 2,09/18/2013,110 4th Avenue,110 4th Avenue,4th Avenue,Warren Street and Baltic Avenue,Brooklyn,306,Not Applicable,Not Applicable,40.681001,-73.980624,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94072156454422 40.83975971675525),1,Manhattan,112,10,72,31,13,3002,1525,Municipal Facilities,backed,01/23/2015,3959 Broadway,3959 Broadway,Broadway,West 166th Street & West 167th Street,Manhattan,112,M5,Not Applicable,40.839768,-73.940723,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91902458372894 40.63620175555163),3,Brooklyn,318,46,59,19,8,2968,1275,Municipal Facilities,backless,01/13/2015,1665 Ralph Avenue,1665 Ralph Avenue,Ralph Avenue,East 76th Street & East 77th Street,Brooklyn,318,B47,Not Applicable,40.63621,-73.919026,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93324357568935 40.68887774559063),3,Brooklyn,303,36,56,25,8,3586,108,General,backed 2,04/29/2017,186 Stuyvesant Avenue,186 Stuyvesant Avenue,Stuyvesant Avenue,Quincy Street & Gates Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.688886,-73.933245,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95705456412276 40.770605730676884),1,Manhattan,108,4,76,28,12,1096,1718,Senior Center,backless,05/08/2013,1437 2nd Avenue,1437 2nd Avenue,2nd Avenue,74th Street and 75th Street,Manhattan,108,Not Applicable,Not Applicable,40.770614,-73.957056,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9372685795034 40.62217875917023),3,Brooklyn,318,45,41,19,9,4182,556,General,backed,10/01/2018,3827 KINGS HIGHWAY,3827 KINGS HIGHWAY,KINGS HIGHWAY,East 38th Street & Flatbush Avenue,Brooklyn,318,B82,Not Applicable,40.622187,-73.93727,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.81059861649621 40.67955174363187),4,Queens,410,28,31,10,5,3242,2380,Municipal Facilities,backed,05/18/2016,130-02 115th Avenue,130-02 115th Avenue,115th Avenue,130th Street & 131st Street,Queens,410,Not Applicable,Not Applicable,40.67956,-73.8106,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94517956658079 40.793754725492335),1,Manhattan,111,8,68,30,13,1241,222,General,backed,10/05/2012,1738 - 1740 Lexington Avenue,1744 Lexington Avenue,Lexington Avenue,East 108th and 109th Streets,Manhattan,111,Not Applicable,Not Applicable,40.793763,-73.945181,AE,,4
POINT (-73.8783485905863 40.739783734147736),4,Queens,404,25,35,16,6,3013,1440,General,backed,02/02/2015,84-20 Broadway,84-20 Broadway,Broadway,St. James Avenue and Corona Avenue,Queens,404,Not Applicable,Not Applicable,40.739792,-73.87835,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9492765697916 40.71113174228791),3,Brooklyn,301,34,53,18,7,3605,7,BID,backed 2,06/06/2019,561 Grand Street,561 Grand Street,Grand Street,Union Avenue & Lormier Street,Brooklyn,301,Not Applicable,Grand Street,40.71114,-73.949278,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.70281564613394 40.751867725267005),4,Queens,413,23,26,11,3,2213,1097,General,backed,12/09/2013,271-11 Union Turnpike,271-11 Union Turnpike,Union Turnpike,271st Street and Hewlett Street,Queens,413,Q46,Not Applicable,40.751876,-73.702817,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93698756842427 40.80207072393757),1,Manhattan,111,8,68,30,13,1250,53,General,backless,10/05/2012,2253 Third Avenue,,3rd Avenue,East 122nd and 123rd Streets,Manhattan,111,BX06,Not Applicable,40.802079,-73.936989,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.96522755904181 40.806163723557255),1,Manhattan,109,7,69,30,10,2551,1594,Municipal Facilities,backed,06/01/2015,2900 Broadway,2900 Broadway,Broadway,West 113th Street & West 114th Street,Manhattan,109,Not Applicable,Not Applicable,40.806172,-73.965229,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.10821852673017 40.571977774863285),5,Staten Island,502,50,64,24,11,3655,2339,Senior Safety,backed,12/27/2016,2424 Hylan Blvd.,2424 Hylan Blvd.,Hylan Blvd.,Locust Avenue & Jacques Avenue,Staten Island,502,Not Applicable,Not Applicable,40.571986,-74.10822,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.84893959436728 40.842950712816986),2,Bronx,210,13,87,32,14,2861,0,BID,,,2550 East Tremont Avenue,2550 East Tremont Avenue,East Tremont Avenue,Overing Street & Montgomery Street,Bronx,210,Not Applicable,Westchester Square,40.842959,-73.848941,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91855557791779 40.74313973484147),4,Queens,402,26,37,12,14,1074,184,BID,backed,09/11/2012,46-01 Queens Blvd,46-01 Queens Blvd,46th Street,46th Street and Carolyn Avenue,Queens,402,Not Applicable,Sunnyside Shines,40.743148,-73.918557,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8559185910445 40.86140670953926),2,Bronx,211,13,80,34,14,2992,1484,General,backed,01/06/2015,2401 Laconia Avenue,2401 Laconia Avenue,Laconia Avenue,Waring Avenue and Mace Avenue,Bronx,211,Not Applicable,Not Applicable,40.861415,-73.85592,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9715365582727 40.79245572652386),1,Manhattan,107,6,69,30,10,1299,440,General,backed,03/07/2013,690 Amsterdam Avenue,690 Amsterdam Avenue,Amsterdam Avenue,West 93rd and 94th Streets,Manhattan,107,Not Applicable,Not Applicable,40.792464,-73.971538,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82691560107759 40.833999713661264),2,Bronx,210,13,82,34,14,1394,650,General,backless,03/26/2013,2945 Bruckner Blvd,1104 Crosby Avenue,Crosby Avenue,Crosby Avenue & Edison Avenue,Bronx,210,BX8,Not Applicable,40.834008,-73.826917,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85874859137073 40.823983716407064),2,Bronx,209,18,85,34,15,2866,725,Municipal Facilities,backless,12/19/2014,845 White Plains Road,845 White Plains Road,White Plains Road,Story Avenue & Turnbull Avenue,Bronx,209,BX36,Not Applicable,40.823992,-73.85875,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.75320563560811 40.65611774615174),4,Queens,413,31,31,10,5,3240,3240,Municipal Facilities,backed,05/25/2016,148-15 230th Street,148-15 230th Street,230th Street,148th Avenue & 149th Avenue,Queens,413,Not Applicable,Not Applicable,40.656126,-73.753207,X,AREA OF MINIMAL FLOOD HAZARD,3
